"Line Probe: Direction [1,0,0] (m)","Line Probe: Velocity: Magnitude (m/s)"
-5.5,1.4692880099583097E-5
-4.5,1.4341595003152912E-5
-3.5,1.3265530080413085E-5
-2.5,1.1181064496130133E-5
-1.5,6.742784833528037E-6
-0.5,5.995384402007124E-8
0.5,1.1607338385421977E-8
1.5,3.1526510006771203E-6
2.5,6.50973900780129E-6
3.5,8.891222675882626E-6
4.5,1.0487808560379663E-5
5.5,1.1663805354959116E-5
6.5,1.2533999937153492E-5
7.5,1.317337786006254E-5
8.5,1.3637290685440359E-5
9.5,1.3969080392438525E-5
10.5,1.4202909901046694E-5
11.5,1.4365366822070271E-5
12.5,1.4476730170119925E-5
13.5,1.455213025198759E-5
14.5,1.4602634682112149E-5
15.5,1.463620108192145E-5
16.5,1.4658495386046108E-5
17.5,1.4673552012356574E-5
18.5,1.4683982986881474E-5
